name,value
model_type,graph
gnn_layer,graphconv
pooling_method,target
outpath,results
outname,exp1
obs_window_start,1990
obs_window_end,2010
batchsize,250
num_workers,6
max_epochs,100
patience,8
learning_rate,0.001
main_hidden_dim,20
lstm_hidden_dim,20
loss,bce_weighted_single
gamma,1
alpha,1
beta,1
delta,1
dropout_rate,0.5
threshold_opt,precision_recall
ratio,0.5
local_test,True
explainability_mode,False
embeddings_mode,False
explainer_input,
device_specification,na
num_positive_samples,5000
device,cpu
num_batches_train,111
num_samples_train_dataset,27565
num_samples_train_minority_class,3050
num_samples_train_majority_class,24515
num_batches_validate,16
num_samples_valid_dataset,3872
num_samples_valid_minority_class,434
num_samples_valid_majority_class,3438
num_batches_test,32
include_longitudinal,True
num_features_static,3
num_features_alt_static,3
num_features_longitudinal,20
threshold,0.5820000000000004
training_time,2664.2370705604553
metric_auc_roc,0.7924532075687608
metric_auc_prc,0.2835213256402703
metric_f1,0.37097833223900195
metric_recall,0.6471935853379153
metric_mcc,0.2930023567833226
metric_ts,0.22773075372833534
metric_bss,-0.9207915541048921
true_negatives,5379
false_positives,1608
false_negatives,308
true_positives,565
