name,value
model_type,graph
gnn_layer,graphconv
pooling_method,target
outpath,results
outname,G2_TestDisease
obs_window_start,1990
obs_window_end,2010
batchsize,250
num_workers,6
max_epochs,100
patience,8
learning_rate,0.001
main_hidden_dim,20
lstm_hidden_dim,20
loss,bce_weighted_sum
gamma,1
alpha,1
beta,1
delta,1
dropout_rate,0.5
threshold_opt,precision_recall
ratio,0.5
local_test,True
explainability_mode,False
embeddings_mode,False
explainer_input,
device_specification,na
num_positive_samples,5000
device,cpu
num_batches_train,111
num_samples_train_dataset,27565
num_samples_train_minority_class,3050
num_samples_train_majority_class,24515
num_batches_validate,16
num_samples_valid_dataset,3872
num_samples_valid_minority_class,434
num_samples_valid_majority_class,3438
num_batches_test,32
include_longitudinal,True
num_features_static,3
num_features_alt_static,14
num_features_longitudinal,20
threshold,0.6270000000000004
training_time,7604.687286615372
metric_auc_roc,0.7995010698153057
metric_auc_prc,0.3016367440102228
metric_f1,0.3766190634340751
metric_recall,0.6494845360824743
metric_mcc,0.29984304125711914
metric_ts,0.23199672667757773
metric_bss,-0.9355195614373861
true_negatives,5416
false_positives,1571
false_negatives,306
true_positives,567
